999.14,88.5,5.11,4.52,0.59,2.82,4.53,1283.4,1.35,2,15.64
999.25,89.1,5.09,4.54,0.55,2.83,4.54,1283.77,2.18,2.75,20.08
999.32,89.4,5.06,4.53,0.54,2.82,4.53,1284.21,2.39,3.63,26.15
999.46,89.5,5.03,4.5,0.53,2.8,4.5,1284.88,2.94,4,15.71
999.59,89.6,4.98,4.46,0.52,2.78,4.46,1285.63,2.91,4.13,11.99
999.62,89.7,4.96,4.45,0.51,2.77,4.45,1285.9,2.16,3.13,8.34
999.8,89.4,4.95,4.43,0.53,2.76,4.43,1286.25,2.03,3.25,7.34
999.92,88.4,4.95,4.38,0.57,2.73,4.38,1286.45,1.3,2.5,9.22
1000.13,88.3,4.95,4.37,0.58,2.73,4.37,1286.71,1.7,2.75,8.57
1000.16,88.6,4.95,4.39,0.56,2.73,4.39,1286.77,1.11,2.38,347
1000.21,89,4.94,4.39,0.54,2.74,4.39,1287.04,1.52,2.88,7.05
1000.23,89.5,4.91,4.39,0.52,2.74,4.39,1287.44,1.22,2.13,355.1
1000.35,90,4.91,4.42,0.49,2.75,4.41,1287.59,1.24,2.13,357
1000.43,90.3,4.91,4.43,0.48,2.76,4.43,1287.7,1.5,2.88,8.76
1000.54,91,4.88,4.44,0.44,2.77,4.44,1288.14,1.76,2.5,9.15
1000.66,91.8,4.88,4.48,0.4,2.79,4.47,1288.35,1.62,2.75,13.1
1000.74,92.3,4.87,4.49,0.37,2.8,4.49,1288.58,2.97,4.63,12.56
1000.78,92.3,4.83,4.46,0.37,2.78,4.46,1289.07,3.44,6.13,24.44
1000.92,91.9,4.82,4.43,0.39,2.76,4.43,1289.44,3.26,4.75,15.55
1000.98,91.5,4.81,4.4,0.41,2.74,4.4,1289.69,3.48,4.63,13.29
1001.13,90.9,4.79,4.35,0.44,2.71,4.35,1290.18,3.51,5.38,15.81
1001.19,90.5,4.79,4.33,0.45,2.69,4.33,1290.3,3.3,4.63,15.74
1001.27,90.7,4.77,4.33,0.44,2.69,4.32,1290.63,3.07,4.5,14.34
1001.34,91.4,4.76,4.35,0.41,2.71,4.35,1290.81,2.81,4.13,10.57
1001.4,92,4.76,4.38,0.38,2.73,4.37,1290.86,1.99,3.5,17.52
1001.46,92.2,4.76,4.39,0.37,2.73,4.38,1290.94,2.19,3.88,13.96
1001.57,92.5,4.76,4.4,0.36,2.74,4.4,1291.08,2.55,3.88,18.38
1001.71,92.8,4.78,4.44,0.34,2.76,4.43,1290.98,2.11,3.13,23.41
1001.83,92.8,4.79,4.44,0.34,2.76,4.43,1291.08,2.89,4,24.28
1001.9,92.6,4.79,4.44,0.35,2.76,4.43,1291.08,2.09,3.13,21.2
1002.01,92.4,4.76,4.4,0.36,2.74,4.39,1291.62,3.01,4.88,13.15
1002.03,92.4,4.76,4.4,0.36,2.74,4.39,1291.67,2.89,4.13,21.52
1002.13,92.2,4.76,4.39,0.37,2.73,4.38,1291.79,2.99,4.25,20.42
1002.15,92.2,4.74,4.37,0.37,2.72,4.36,1292.16,2.98,4.75,20.56
1002.23,91.9,4.72,4.34,0.38,2.69,4.33,1292.57,2.48,3.88,14.31
1002.32,91.7,4.71,4.32,0.39,2.69,4.31,1292.73,2.69,3.75,22.07
1002.36,91.3,4.71,4.3,0.41,2.67,4.29,1292.9,3.26,5.13,23.45
1002.37,90.4,4.66,4.21,0.45,2.62,4.2,1293.61,3.87,5,18.31
1002.35,89.8,4.61,4.14,0.47,2.57,4.13,1294.31,3.42,4.75,20.89
1002.39,89.3,4.56,4.07,0.49,2.53,4.06,1295.07,3.01,4.13,29.22
1002.39,88.8,4.53,4.03,0.51,2.5,4.02,1295.46,3.06,4.13,23.48
1002.39,88.4,4.52,3.99,0.52,2.48,3.98,1295.7,3.06,4,15.5
1002.44,88.7,4.47,3.97,0.51,2.46,3.96,1296.43,2.39,3.63,24.21
1002.54,88.9,4.42,3.93,0.49,2.44,3.92,1297.24,1.74,2.88,12.55
1002.52,89.2,4.44,3.96,0.48,2.46,3.95,1297.05,1.81,3,13.5
1002.57,89.6,4.42,3.96,0.46,2.46,3.95,1297.33,1.42,2.88,354.1
1002.52,89.7,4.41,3.96,0.45,2.46,3.95,1297.39,0.74,1.38,354
1002.64,89.6,4.39,3.93,0.46,2.44,3.92,1297.89,0.82,1.63,313.2
1002.65,89.7,4.36,3.91,0.45,2.43,3.9,1298.32,1.26,2.13,323.8
1002.64,89.9,4.35,3.91,0.44,2.43,3.9,1298.51,1.38,2.75,349.2
1002.53,89.8,4.35,3.91,0.44,2.43,3.9,1298.31,2.13,2.75,17.64
1002.35,89.6,4.34,3.89,0.45,2.42,3.88,1298.26,1.98,2.38,17.74
1002.32,90,4.3,3.87,0.43,2.41,3.86,1298.79,1.42,1.88,16.85
1002.39,90.7,4.24,3.85,0.39,2.39,3.84,1299.75,0.8,1.38,13.01
1002.39,90.6,4.14,3.75,0.39,2.33,3.75,1301.31,0.47,0.88,189.4
1002.49,91.1,4.06,3.69,0.36,2.3,3.69,1302.85,0.38,0.88,240.2
1002.42,91.8,4.05,3.72,0.33,2.31,3.71,1302.82,0.12,0.38,200.2
1002.39,92.2,4.07,3.75,0.32,2.33,3.75,1302.43,0.96,1.75,244.9
1002.39,92.1,4.12,3.79,0.33,2.36,3.78,1301.68,0.27,1,292.8
1002.39,91,4.08,3.72,0.37,2.31,3.71,1302.27,0.63,1.13,140.2
1002.31,90.7,4,3.63,0.37,2.25,3.62,1303.51,0.64,1.38,325.2
1002.34,91.2,3.99,3.64,0.35,2.26,3.63,1303.75,0.96,1.63,49.94
1002.36,91.5,3.93,3.6,0.33,2.23,3.59,1304.71,0.99,1.38,2.56
1002.27,91.9,3.87,3.56,0.31,2.21,3.55,1305.55,0.74,1.75,20.66
1002.27,92.3,3.83,3.54,0.29,2.2,3.53,1306.26,0.39,1,279.2
1002.28,92.3,3.78,3.49,0.29,2.17,3.49,1307.06,0.43,0.75,178.7
1002.29,92.7,3.74,3.46,0.27,2.15,3.46,1307.89,0.67,1,239.3
1002.37,93.3,3.78,3.52,0.25,2.19,3.51,1307.32,0.47,1.13,196.4
1002.27,93.4,3.86,3.61,0.25,2.24,3.6,1305.69,0.38,0.88,127.1
1002.2,92.7,3.89,3.61,0.28,2.24,3.6,1305.09,0.34,1.13,181.2
1002.15,91.9,3.86,3.55,0.31,2.2,3.54,1305.61,0.43,0.75,76.8
1002.14,92,3.79,3.49,0.3,2.17,3.48,1306.79,0.19,0.63,73.1
1002.14,92.3,3.76,3.47,0.29,2.16,3.46,1307.35,0.31,0.88,296.3
1002.06,92.7,3.76,3.49,0.27,2.17,3.48,1307.15,0.57,1,231.8
1002.03,92.6,3.8,3.52,0.28,2.19,3.51,1306.44,0.25,0.63,145.4
1002.01,92.3,3.78,3.49,0.29,2.17,3.48,1306.74,0.82,1.75,240.8
1002.02,91.8,3.83,3.52,0.31,2.19,3.51,1305.89,0.77,1.5,273.2
1001.99,90.9,3.85,3.5,0.35,2.17,3.49,1305.62,0.27,0.75,162.3
1001.97,91,3.82,3.48,0.34,2.16,3.47,1306,0.31,1,96.2
1001.93,91.3,3.81,3.48,0.33,2.16,3.47,1306.2,0.37,0.88,192
1001.9,91.4,3.75,3.43,0.32,2.13,3.42,1307.11,0.24,0.63,180.7
1001.79,91.5,3.71,3.39,0.32,2.11,3.39,1307.75,0.51,0.88,191.2
1001.65,91.9,3.6,3.31,0.29,2.06,3.31,1309.46,0.48,0.88,193.9
1001.52,92.4,3.56,3.29,0.27,2.04,3.28,1310.14,0.39,0.88,158.2
1001.4,92.4,3.51,3.24,0.27,2.02,3.24,1310.79,0.55,1,65.23
1001.29,92.8,3.46,3.21,0.25,2,3.21,1311.6,0.45,0.88,58.63
1001.29,93.1,3.39,3.16,0.23,1.96,3.15,1312.91,0.28,0.75,17.82
1001.31,93.6,3.35,3.13,0.21,1.95,3.13,1313.75,0.2,0.75,76.7
1001.29,93.5,3.29,3.07,0.21,1.91,3.07,1314.93,0.47,1.75,221.4
1001.2,93.9,3.3,3.1,0.2,1.93,3.1,1314.51,2,2.63,249.7
1001.15,92.5,3.36,3.11,0.25,1.93,3.1,1313.34,2.58,3.13,240.6
1001.13,90.7,3.37,3.05,0.31,1.9,3.05,1313.19,2.34,2.88,241
1001.12,89.9,3.35,3.01,0.34,1.87,3,1313.61,1.95,2.63,243.2
1001.07,89.7,3.31,2.97,0.34,1.85,2.97,1314.2,1.04,2.13,244.7
1001.17,89.3,3.21,2.87,0.34,1.79,2.87,1316.27,1.32,2.25,229.7
1001.22,90.6,3.18,2.88,0.3,1.79,2.88,1317.08,1.31,2.13,228.3
1001.16,91.5,3.18,2.91,0.27,1.81,2.91,1316.88,1.41,1.88,233.6
1001.16,91.5,3.18,2.91,0.27,1.81,2.91,1316.88,1.13,1.75,223.9
1001.11,91,3.12,2.84,0.28,1.77,2.84,1318.04,1.08,2.25,207.9
1001.03,90.7,3.04,2.76,0.28,1.72,2.76,1319.63,1.9,2.75,237.3
1001.04,91.2,3.02,2.75,0.27,1.71,2.75,1320.15,0.85,1.75,219.7
1000.99,91.1,2.98,2.71,0.27,1.69,2.71,1320.96,0.73,1.38,176.5
1000.95,91,2.89,2.63,0.26,1.64,2.63,1322.74,0.9,1.75,215.2
1000.91,91.6,2.89,2.64,0.24,1.64,2.64,1322.89,0.72,1.13,213
1000.92,91.9,2.92,2.68,0.24,1.67,2.68,1322.18,0.93,1.25,207.7
1000.92,92,2.99,2.75,0.24,1.71,2.75,1320.59,0.43,0.88,149.2
